Value,correct_uris,Value_cta_class,Value_answer_Qnode,Value_answer_dburi,evaluation
Chicago White Sox,Q335169,Q43229,Q335169,http://dbpedia.org/resource/Chicago_White_Sox,1
New York Giants,Q190618,Q43229,Q308966,http://dbpedia.org/resource/San_Francisco_Giants,0
Boston Braves,Q461595,Q43229,Q461595,http://dbpedia.org/resource/Atlanta_Braves,1
Cleveland Indians,Q642553,Q43229,Q642553,http://dbpedia.org/resource/Cleveland_Indians,1
Brooklyn Robins,Q334634,Q43229,Q334634,http://dbpedia.org/resource/Los_Angeles_Dodgers,1
Brooklyn Dodgers,Q334634,Q43229,Q334634,http://dbpedia.org/resource/Los_Angeles_Dodgers,1
Philadelphia Athletics,Q504339,Q43229,Q504339,http://dbpedia.org/resource/Oakland_Athletics,1
Brooklyn Royal Giants,Q4974889,Q43229,Q4974889,http://dbpedia.org/resource/Brooklyn_Royal_Giants,1
Boston Red Sox,Q213959,Q43229,Q213959,http://dbpedia.org/resource/Boston_Red_Sox,1
New York Yankees,Q213417,Q43229,Q213417,http://dbpedia.org/resource/New_York_Yankees,1
Washington Senators,Q329816,Q43229,Q329816,http://dbpedia.org/resource/Texas_Rangers_(baseball),1
Philadelphia Phillies,Q650840,Q43229,Q650840,http://dbpedia.org/resource/Philadelphia_Phillies,1
St. Louis Browns,Q650816,Q43229,Q504309,http://dbpedia.org/resource/St._Louis_Cardinals,0
St. Louis Cardinals,Q504309,Q43229,Q504309,http://dbpedia.org/resource/St._Louis_Cardinals,1
Milwaukee Braves,Q461595,Q43229,Q461595,http://dbpedia.org/resource/Atlanta_Braves,1
Cincinnati Reds,Q826751,Q43229,Q826751,http://dbpedia.org/resource/Cincinnati_Reds,1
Boston Beaneaters,Q461595,Q43229,Q461595,http://dbpedia.org/resource/Atlanta_Braves,1
New York Highlanders,Q213417,Q43229,Q213417,http://dbpedia.org/resource/New_York_Yankees,1
Chicago Bears,Q205033,Q43229,Q205033,http://dbpedia.org/resource/Chicago_Bears,1
Kansas City Cowboys,Q1562612,Q43229,Q41819,"http://dbpedia.org/resource/Kansas_City,_Missouri",0
Brooklyn Superbas,Q334634,Q43229,Q334634,http://dbpedia.org/resource/Los_Angeles_Dodgers,1
St. Louis Maroons,Q1562667,Q43229,Q504309,http://dbpedia.org/resource/St._Louis_Cardinals,0
Tacoma Tigers,Q2740096,Q43229,Q2740096,http://dbpedia.org/resource/Tacoma_Rainiers,1
